# position,p_value_total
2.000000000000000000e+01,2.137727080692860271e-01
2.000000000000000000e+01,3.274186734262780063e-01
2.100000000000000000e+01,4.968917858651699104e-01
2.100000000000000000e+01,2.654958054197598116e-01
2.100000000000000000e+01,7.578007121733357776e-01
2.200000000000000000e+01,2.236103566902045980e-01
2.200000000000000000e+01,1.451505824129398214e-01
2.200000000000000000e+01,6.451204055766793788e-01
2.300000000000000000e+01,4.355724545838614015e-01
2.300000000000000000e+01,2.970004224757076261e-01
2.300000000000000000e+01,4.951415293620616831e-01
2.400000000000000000e+01,4.830104411853461399e-01
2.400000000000000000e+01,3.472750316856780817e-01
2.400000000000000000e+01,9.931196813326090833e-01
2.500000000000000000e+01,2.460619228680065163e-01
2.500000000000000000e+01,7.031202848693343110e-01
2.500000000000000000e+01,7.564729313778743025e-01
2.600000000000000000e+01,3.729253425070915839e-01
2.600000000000000000e+01,5.676866437322710679e-01
2.600000000000000000e+01,5.906210392902407902e-01
2.700000000000000000e+01,2.343533103989377808e-01
2.700000000000000000e+01,3.204176474138451525e-01
2.700000000000000000e+01,4.484881405033496193e-01
2.800000000000000000e+01,5.136097531534793842e-02
2.800000000000000000e+01,4.769147202607278424e-01
2.800000000000000000e+01,5.134890458084374609e-01
2.900000000000000000e+01,3.300138813446798491e-01
2.900000000000000000e+01,3.010441185346128257e-01
2.900000000000000000e+01,7.268392781700766525e-01
3.000000000000000000e+01,5.407085521153962571e-01
3.000000000000000000e+01,2.083408775423984671e-01
3.000000000000000000e+01,2.960347637153720735e-01
3.100000000000000000e+01,7.537570161144305780e-01
3.100000000000000000e+01,1.540829259460438083e-01
3.100000000000000000e+01,6.759611322348965112e-01
3.200000000000000000e+01,6.780735107731304945e-01
3.200000000000000000e+01,3.361699559418190875e-02
3.200000000000000000e+01,3.729253425070915839e-01
3.300000000000000000e+01,3.713561470215462346e-01
3.300000000000000000e+01,3.965236284627919605e-02
3.300000000000000000e+01,2.869213591647051809e-01
3.400000000000000000e+01,5.196451204055766437e-01
3.400000000000000000e+01,5.015993723218057365e-01
3.400000000000000000e+01,2.395437262357414387e-01
3.500000000000000000e+01,7.339006578550304194e-02
3.500000000000000000e+01,4.315287585249562297e-02
3.500000000000000000e+01,2.257227352284386576e-02
3.600000000000000000e+01,9.958355965960528910e-02
3.600000000000000000e+01,8.413301949423622472e-02
3.600000000000000000e+01,5.848270867282274327e-02
3.700000000000000000e+01,2.426217635343110718e-02
3.700000000000000000e+01,6.156074597139235723e-03
3.700000000000000000e+01,1.339851529965598378e-02
3.800000000000000000e+01,5.848270867282273633e-01
3.800000000000000000e+01,7.551451505824129384e-01
3.800000000000000000e+01,2.395437262357414387e-01
3.900000000000000000e+01,1.924075079968615987e-01
3.900000000000000000e+01,2.474500573359889044e-02
3.900000000000000000e+01,1.730943327901502682e-01
4.000000000000000000e+01,9.301708008932343397e-01
4.000000000000000000e+01,5.523568109119439962e-01
4.000000000000000000e+01,7.242440702516747542e-02
4.100000000000000000e+01,9.272134709397066299e-01
4.100000000000000000e+01,7.918401834751644108e-02
4.100000000000000000e+01,4.893475768000482562e-01
4.200000000000000000e+01,3.535518136278592571e-01
4.200000000000000000e+01,3.713561470215462346e-01
4.200000000000000000e+01,3.148047558693946590e-01
4.300000000000000000e+01,9.143581386927394083e-01
4.300000000000000000e+01,1.668779045204900613e-01
4.300000000000000000e+01,8.798358380107429433e-01
4.400000000000000000e+01,9.098919669261874565e-01
4.400000000000000000e+01,4.701551089383788906e-02
4.400000000000000000e+01,6.617176655199469293e-01
4.500000000000000000e+01,9.882913875309312646e-01
4.500000000000000000e+01,4.037660691653086747e-02
4.500000000000000000e+01,7.404188544872954969e-01
4.600000000000000000e+01,8.734987023960407715e-01
4.600000000000000000e+01,7.185708250347033754e-01
4.600000000000000000e+01,1.029633653207797650e-01
4.700000000000000000e+01,7.128975798177319412e-01
4.700000000000000000e+01,5.507876154263986468e-01
4.700000000000000000e+01,9.458627557486872783e-01
4.800000000000000000e+01,4.688273281429174988e-01
4.800000000000000000e+01,3.772104532560806300e-02
4.800000000000000000e+01,2.083408775423984671e-01
4.900000000000000000e+01,4.368398817068018802e-01
4.900000000000000000e+01,6.457842959744100261e-03
4.900000000000000000e+01,2.328444685859134555e-01
5.000000000000000000e+01,3.645361820266763142e-01
5.000000000000000000e+01,3.729253425070915839e-01
5.000000000000000000e+01,2.848693342989920899e-02
5.100000000000000000e+01,3.082262055646086130e-01
5.100000000000000000e+01,3.395497616029935495e-01
5.100000000000000000e+01,1.309674693705112011e-02
5.200000000000000000e+01,3.603717786227291775e-01
5.200000000000000000e+01,1.195606252640473155e-01
5.200000000000000000e+01,1.575230852797392805e-02
5.300000000000000000e+01,4.661114128794737188e-01
5.300000000000000000e+01,2.067716820568531733e-01
5.300000000000000000e+01,1.082141348301044054e-01
5.400000000000000000e+01,2.795582111171464601e-01
5.400000000000000000e+01,5.106524231999517438e-01
5.400000000000000000e+01,1.436417405999154961e-01
5.500000000000000000e+01,1.459955338282334369e-01
5.500000000000000000e+01,2.304303216850745462e-01
5.500000000000000000e+01,1.605407689057879173e-02
5.600000000000000000e+01,1.566781338644456512e-01
5.600000000000000000e+01,7.483855392600639693e-03
5.600000000000000000e+01,4.055766793409378707e-02
5.700000000000000000e+01,5.240509384996077102e-01
5.700000000000000000e+01,5.613495081175690071e-01
5.700000000000000000e+01,4.242863178224395154e-02
5.800000000000000000e+01,5.603234956847124026e-01
5.800000000000000000e+01,6.378779648741625952e-01
5.800000000000000000e+01,3.053895829561228958e-02
5.900000000000000000e+01,7.462128070493089238e-01
5.900000000000000000e+01,5.958114551270444759e-01
5.900000000000000000e+01,3.114249502082201693e-02
6.000000000000000000e+01,3.408171887259339727e-01
6.000000000000000000e+01,3.038203874705776020e-01
6.000000000000000000e+01,1.889069949906451926e-02
6.100000000000000000e+01,3.442573480596294311e-01
6.100000000000000000e+01,1.315710060957209215e-02
6.100000000000000000e+01,6.379383185466835915e-02
6.200000000000000000e+01,9.540708552115396701e-01
6.200000000000000000e+01,9.319210573963425670e-01
6.200000000000000000e+01,7.247872533043635546e-01
6.300000000000000000e+01,1.099040376606916503e-01
6.300000000000000000e+01,3.017080089323435077e-01
6.300000000000000000e+01,1.182931981411068818e-02
6.400000000000000000e+01,5.993119681332609305e-02
6.400000000000000000e+01,2.414146900838916039e-04
6.400000000000000000e+01,1.255356388436236308e-02
6.500000000000000000e+01,3.452230068199649976e-02
6.500000000000000000e+01,1.327780795461403797e-02
6.500000000000000000e+01,6.035367252097289690e-04
6.600000000000000000e+01,1.210091134045506722e-01
6.600000000000000000e+01,2.697809161687488716e-02
6.600000000000000000e+01,2.734021365200072287e-02
6.700000000000000000e+01,3.198744643611563937e-02
6.700000000000000000e+01,1.357957631721890338e-02
6.700000000000000000e+01,6.095720924618262815e-03
6.800000000000000000e+01,9.415172913271771873e-03
6.800000000000000000e+01,6.216428269660208630e-03
6.800000000000000000e+01,8.449514152936206000e-04
6.900000000000000000e+01,9.837648620918583095e-03
6.900000000000000000e+01,2.474500573359888784e-03
6.900000000000000000e+01,1.086366105377512123e-03
7.000000000000000000e+01,3.409982497434969201e-02
7.000000000000000000e+01,1.225179552175749940e-02
7.000000000000000000e+01,3.319451988653509492e-03
7.100000000000000000e+01,3.053895829561228958e-02
7.100000000000000000e+01,1.331402015812662154e-01
7.100000000000000000e+01,2.534854245880861778e-02
7.200000000000000000e+01,2.450359104351499881e-02
7.200000000000000000e+01,6.041402619349387632e-02
7.200000000000000000e+01,1.327780795461403754e-03
7.300000000000000000e+01,5.878447703542760694e-02
7.300000000000000000e+01,9.053050878145935077e-04
7.300000000000000000e+01,2.498642042368278207e-02
7.400000000000000000e+01,4.032228861126199715e-01
7.400000000000000000e+01,1.511255959925161541e-01
7.400000000000000000e+01,5.172309735047377760e-02
7.500000000000000000e+01,7.115094453497495808e-01
7.500000000000000000e+01,9.525016597259943207e-01
7.500000000000000000e+01,7.089142374313477379e-01
7.600000000000000000e+01,3.373770293922385144e-01
7.600000000000000000e+01,2.233085883275997413e-02
7.600000000000000000e+01,1.054982195666606254e-01
7.700000000000000000e+01,2.831190777958838556e-01
7.700000000000000000e+01,1.569195485545295385e-03
7.700000000000000000e+01,1.099040376606916503e-01
7.800000000000000000e+01,1.698352344740177433e-01
7.800000000000000000e+01,3.524654475224817118e-02
7.800000000000000000e+01,5.968978212324219795e-02
7.900000000000000000e+01,7.247872533043635546e-01
7.900000000000000000e+01,9.387410223912124874e-01
7.900000000000000000e+01,5.302673667692678894e-01
8.000000000000000000e+01,8.751282515541070062e-02
8.000000000000000000e+01,6.880318667390910616e-03
8.000000000000000000e+01,3.578972780493692996e-02
8.100000000000000000e+01,7.982980264349085475e-01
8.100000000000000000e+01,9.946285231456334364e-01
8.100000000000000000e+01,5.493391272858954011e-01
8.200000000000000000e+01,2.563220471965719227e-01
8.200000000000000000e+01,8.449514152936205350e-03
8.200000000000000000e+01,4.701551089383788906e-02
8.300000000000000000e+01,4.484881405033496193e-01
8.300000000000000000e+01,3.300138813446798491e-01
8.300000000000000000e+01,3.295310519645120589e-02
8.400000000000000000e+01,2.117206832035729291e-01
8.400000000000000000e+01,3.409982497434969201e-02
8.400000000000000000e+01,9.318607037238216262e-02
8.500000000000000000e+01,6.734262779890156647e-01
8.500000000000000000e+01,7.625082986299716037e-01
8.500000000000000000e+01,9.919729615547105972e-01
8.600000000000000000e+01,3.568712656165127783e-01
8.600000000000000000e+01,6.270746574929084161e-02
8.600000000000000000e+01,3.180035005130062431e-01
8.700000000000000000e+01,6.215824732934999153e-01
8.700000000000000000e+01,8.449514152936205350e-03
8.700000000000000000e+01,1.961494356931619276e-01
8.800000000000000000e+01,3.165550123725028864e-01
8.800000000000000000e+01,4.204840364536182040e-01
8.800000000000000000e+01,2.734021365200072287e-02
8.900000000000000000e+01,3.789607097591888296e-01
8.900000000000000000e+01,1.656104773975496380e-01
8.900000000000000000e+01,2.269298086788580984e-02
9.000000000000000000e+01,6.307562315166878042e-01
9.000000000000000000e+01,4.500573359888949132e-01
9.000000000000000000e+01,2.173939284205443911e-01
9.100000000000000000e+01,4.484277868308286785e-02
9.100000000000000000e+01,6.156074597139235723e-03
9.100000000000000000e+01,1.744221135856116947e-02
9.200000000000000000e+01,3.165550123725028864e-01
9.200000000000000000e+01,3.311606011225783353e-01
9.200000000000000000e+01,2.988110326513368498e-01
9.300000000000000000e+01,8.449514152936205350e-03
9.300000000000000000e+01,1.508841813024322477e-03
9.300000000000000000e+01,4.949001146719777568e-03
9.400000000000000000e+01,3.789607097591888296e-01
9.400000000000000000e+01,2.654958054197598116e-01
9.400000000000000000e+01,1.041704387711992336e-01
9.500000000000000000e+01,2.010984368398817113e-01
9.500000000000000000e+01,1.949423622427424660e-02
9.500000000000000000e+01,3.120284869334298897e-02
9.600000000000000000e+01,2.281368821292775739e-01
9.600000000000000000e+01,2.999577524292353081e-02
9.600000000000000000e+01,3.820387470577584627e-02
9.700000000000000000e+01,6.014243466714949138e-01
9.700000000000000000e+01,9.847908745247148099e-01
9.700000000000000000e+01,5.028064457722252190e-01
9.800000000000000000e+01,3.717786227291930423e-02
9.800000000000000000e+01,9.656587603355664155e-04
9.800000000000000000e+01,1.146719777898485074e-02
9.900000000000000000e+01,1.525740841330194830e-01
9.900000000000000000e+01,7.556279799625807703e-02
9.900000000000000000e+01,9.053050878145935077e-04
1.000000000000000000e+02,2.703240992214376304e-01
1.000000000000000000e+02,7.797694489709698640e-02
1.000000000000000000e+02,7.242440702516747542e-02
1.010000000000000000e+02,3.802884905546502492e-01
1.010000000000000000e+02,2.786529060293319038e-01
1.010000000000000000e+02,1.892691170257710109e-01
1.020000000000000000e+02,3.397911762930774099e-02
1.020000000000000000e+02,5.492184199408533737e-03
1.020000000000000000e+02,6.276781942181181538e-03
1.030000000000000000e+02,2.522783511376667231e-01
1.030000000000000000e+02,2.731003681574023512e-01
1.030000000000000000e+02,4.013519222644697931e-02
1.040000000000000000e+02,1.744221135856116947e-02
1.040000000000000000e+02,8.208099462852313719e-03
1.040000000000000000e+02,1.798539441124992477e-02
1.050000000000000000e+02,1.162411732753938082e-01
1.050000000000000000e+02,1.327780795461403754e-03
1.050000000000000000e+02,2.613314020158126472e-02
1.060000000000000000e+02,3.747359526827207521e-01
1.060000000000000000e+02,4.632144365984670054e-01
1.060000000000000000e+02,3.851167843563280679e-01
1.070000000000000000e+02,3.244009898002293557e-01
1.070000000000000000e+02,3.395497616029935495e-01
1.070000000000000000e+02,2.947673365924316502e-01
1.080000000000000000e+02,4.786046230913151150e-02
1.080000000000000000e+02,7.001026012432856431e-03
1.080000000000000000e+02,1.653690627074657499e-02
1.090000000000000000e+02,9.525016597259943207e-01
1.090000000000000000e+02,9.719958959502685847e-01
1.090000000000000000e+02,6.905063673124509638e-01
1.100000000000000000e+02,7.326935844046110757e-01
1.100000000000000000e+02,1.396583982135312929e-01
1.100000000000000000e+02,5.448729555193433383e-01
1.110000000000000000e+02,6.566479570281851252e-01
1.110000000000000000e+02,2.225239905848270805e-01
1.110000000000000000e+02,8.319753757016113971e-01
1.120000000000000000e+02,3.692437684833121958e-01
1.120000000000000000e+02,6.867644396161506348e-01
1.120000000000000000e+02,7.071639809282395106e-01
1.130000000000000000e+02,5.277325125233870429e-01
1.130000000000000000e+02,2.425614098617900893e-01
1.130000000000000000e+02,9.619771863117870803e-01
1.140000000000000000e+02,6.169352405093849745e-01
1.140000000000000000e+02,1.771983825215764363e-01
1.140000000000000000e+02,8.074114309855754401e-01
1.150000000000000000e+02,8.020399541312088765e-01
1.150000000000000000e+02,6.085460800289698158e-01
1.150000000000000000e+02,1.469008389160480488e-01
1.160000000000000000e+02,8.518920876335325243e-01
1.160000000000000000e+02,6.819964994869938402e-02
1.160000000000000000e+02,4.124569980083288012e-01
1.170000000000000000e+02,7.476009415172912842e-01
1.170000000000000000e+02,5.581507634739574231e-01
1.170000000000000000e+02,1.495564005069708602e-01
1.180000000000000000e+02,6.655199468887681435e-01
1.180000000000000000e+02,7.703542760576981285e-01
1.180000000000000000e+02,5.650914358138692251e-01
1.190000000000000000e+02,2.510712776872472962e-01
1.190000000000000000e+02,2.316977488080149694e-01
1.190000000000000000e+02,2.052024865713078516e-02
1.200000000000000000e+02,2.485967771138873905e-01
1.200000000000000000e+02,8.751282515541070756e-03
1.200000000000000000e+02,3.409982497434969201e-02
1.210000000000000000e+02,5.848270867282273633e-01
1.210000000000000000e+02,6.667873740117086223e-01
1.210000000000000000e+02,3.670710362725571607e-01
1.220000000000000000e+02,8.823706922566237898e-02
1.220000000000000000e+02,1.466594242259641571e-02
1.220000000000000000e+02,1.318727744583257921e-01
1.230000000000000000e+02,1.892691170257710109e-01
1.230000000000000000e+02,2.172732210755024245e-03
1.230000000000000000e+02,5.890518438046955102e-02
1.240000000000000000e+02,9.458627557486872783e-01
1.240000000000000000e+02,8.400024141469007999e-01
1.240000000000000000e+02,8.567807351077313394e-01
1.250000000000000000e+02,5.691351318727744246e-01
1.250000000000000000e+02,7.419276963003198500e-01
1.250000000000000000e+02,6.548373468525560404e-02
1.260000000000000000e+02,3.501116542941637988e-01
1.260000000000000000e+02,1.466594242259641571e-02
1.260000000000000000e+02,1.846218842416560979e-01
1.270000000000000000e+02,6.125897760878749043e-01
1.270000000000000000e+02,5.691351318727744246e-01
1.270000000000000000e+02,1.291568591948820122e-01
1.280000000000000000e+02,2.053835475888707851e-01
1.280000000000000000e+02,9.777294948397609320e-03
1.280000000000000000e+02,1.972961554710604137e-01
1.290000000000000000e+02,6.042609692799807419e-01
1.290000000000000000e+02,3.452833604924859801e-01
1.290000000000000000e+02,2.679703059931196757e-02
1.300000000000000000e+02,9.704267004647232353e-01
1.300000000000000000e+02,8.694550063371355719e-01
1.300000000000000000e+02,6.697447039652363321e-01
1.310000000000000000e+02,4.204840364536182040e-01
1.310000000000000000e+02,5.213350232361638747e-01
1.310000000000000000e+02,6.608727141046533138e-02
1.320000000000000000e+02,2.498642042368278138e-01
1.320000000000000000e+02,6.156074597139235723e-03
1.320000000000000000e+02,6.916530870903495054e-02
1.330000000000000000e+02,3.522240328323978376e-01
1.330000000000000000e+02,4.444444444444444198e-01
1.330000000000000000e+02,6.759611322348964800e-03
1.340000000000000000e+02,4.985816886957571414e-01
1.340000000000000000e+02,3.568712656165127783e-01
1.340000000000000000e+02,1.279497857444625471e-02
1.350000000000000000e+02,3.917556883336351103e-01
1.350000000000000000e+02,3.069587784416681897e-01
1.350000000000000000e+02,2.999577524292353081e-02
1.360000000000000000e+02,8.734987023960407715e-01
1.360000000000000000e+02,8.901563160118293183e-01
1.360000000000000000e+02,6.710121310881766998e-01
1.370000000000000000e+02,3.623634498159212791e-01
1.370000000000000000e+02,1.086366105377512166e-02
1.370000000000000000e+02,1.129217212867403008e-01
1.380000000000000000e+02,8.620315046170559103e-01
1.380000000000000000e+02,9.182811274066027263e-01
1.380000000000000000e+02,6.620797875550726852e-02
1.390000000000000000e+02,7.097591888466413534e-01
1.390000000000000000e+02,9.289637274428148572e-01
1.390000000000000000e+02,9.831613253666485197e-02
1.400000000000000000e+02,6.806687186915323373e-01
1.400000000000000000e+02,3.681574023779347199e-02
1.400000000000000000e+02,3.244009898002293557e-01
1.410000000000000000e+02,5.833785985877241176e-01
1.410000000000000000e+02,2.064095600217273271e-02
1.410000000000000000e+02,4.058784477035427551e-01
1.420000000000000000e+02,7.689057879171947718e-01
1.420000000000000000e+02,6.489830406180215894e-01
1.420000000000000000e+02,5.993119681332609305e-02
1.430000000000000000e+02,1.953044842778683121e-01
1.430000000000000000e+02,2.947673365924316502e-01
1.430000000000000000e+02,8.649888345705836201e-01
1.440000000000000000e+02,7.703542760576981285e-01
1.440000000000000000e+02,1.265012976039592008e-01
1.440000000000000000e+02,2.970004224757076261e-01
1.450000000000000000e+02,8.708431408051180433e-01
1.450000000000000000e+02,4.653268151367010580e-02
1.450000000000000000e+02,5.783692437684833099e-01
1.460000000000000000e+02,7.640171404429959567e-01
1.460000000000000000e+02,5.417949182207737469e-01
1.460000000000000000e+02,2.225239905848270805e-01
1.470000000000000000e+02,3.988774216911099013e-01
1.470000000000000000e+02,2.435270686221256697e-01
1.470000000000000000e+02,8.734987023960407715e-01
1.480000000000000000e+02,2.795582111171464601e-01
1.480000000000000000e+02,2.563220471965719227e-01
1.480000000000000000e+02,9.045808437443418892e-01
1.490000000000000000e+02,1.802160661476250869e-01
1.490000000000000000e+02,8.413301949423622472e-02
1.490000000000000000e+02,8.215341903554831404e-01
1.500000000000000000e+02,5.493391272858954011e-01
1.500000000000000000e+02,3.192105739634256700e-01
1.500000000000000000e+02,9.847908745247148099e-01
1.510000000000000000e+02,6.816947311243889418e-01
1.510000000000000000e+02,1.664554288128432535e-01
1.510000000000000000e+02,9.510531715854909640e-01
1.520000000000000000e+02,7.022753334540406955e-01
1.520000000000000000e+02,4.085943629669865351e-01
1.520000000000000000e+02,1.882431045929144897e-01
1.530000000000000000e+02,6.667873740117086223e-01
1.530000000000000000e+02,1.420725451143702023e-01
1.530000000000000000e+02,6.591224576015450864e-01
1.540000000000000000e+02,4.854245880861850493e-01
1.540000000000000000e+02,3.887983583801074561e-01
1.540000000000000000e+02,5.038324582050818234e-01
1.550000000000000000e+02,9.019252821534190501e-01
1.550000000000000000e+02,7.857444625505461966e-01
1.550000000000000000e+02,2.425614098617900893e-01
1.560000000000000000e+02,8.233448005311123641e-01
1.560000000000000000e+02,7.357112680306596153e-02
1.560000000000000000e+02,3.349025288188786087e-01
1.570000000000000000e+02,8.664373227110869768e-01
1.570000000000000000e+02,8.247329349990947245e-01
1.570000000000000000e+02,1.504617055947854443e-01
1.580000000000000000e+02,6.938861729736254258e-01
1.580000000000000000e+02,9.428450721226386833e-01
1.580000000000000000e+02,7.598527370390488478e-02
1.590000000000000000e+02,9.238940189510531642e-01
1.590000000000000000e+02,9.704267004647232353e-01
1.590000000000000000e+02,7.918401834751644108e-02
1.600000000000000000e+02,5.134890458084374609e-01
1.600000000000000000e+02,3.265133683384634222e-02
1.600000000000000000e+02,2.343533103989377808e-01
1.610000000000000000e+02,6.407145874826483123e-01
1.610000000000000000e+02,6.923169774880801874e-01
1.610000000000000000e+02,1.032651336833846356e-01
1.620000000000000000e+02,7.844770354276057178e-01
1.620000000000000000e+02,6.379383185466835915e-02
1.620000000000000000e+02,2.890337377029392196e-01
1.630000000000000000e+02,2.890337377029392196e-01
1.630000000000000000e+02,2.256020278833966997e-01
1.630000000000000000e+02,6.679340937896071084e-01
1.640000000000000000e+02,7.835717303397912170e-01
1.640000000000000000e+02,1.089987325728770662e-01
1.640000000000000000e+02,3.869877482044782324e-01
1.650000000000000000e+02,5.354577826060715751e-01
1.650000000000000000e+02,1.912004345464421440e-01
1.650000000000000000e+02,9.763413603717786549e-01
1.660000000000000000e+02,6.437926247812179037e-01
1.660000000000000000e+02,3.218661355543485092e-01
1.660000000000000000e+02,9.414569376546563229e-01
1.670000000000000000e+02,9.704267004647232353e-01
1.670000000000000000e+02,6.041402619349387632e-02
1.670000000000000000e+02,8.494779407326935594e-01
1.680000000000000000e+02,5.172913271772587862e-01
1.680000000000000000e+02,4.907357112680306721e-01
1.680000000000000000e+02,1.701973565091435825e-01
1.690000000000000000e+02,8.864747419880499857e-01
1.690000000000000000e+02,7.339006578550304194e-02
1.690000000000000000e+02,5.874222946466292061e-01
1.700000000000000000e+02,7.945560987386082186e-01
1.700000000000000000e+02,1.972961554710604137e-01
1.700000000000000000e+02,4.457722252399058394e-01
1.710000000000000000e+02,8.200253485424587874e-01
1.710000000000000000e+02,4.632144365984670054e-01
1.710000000000000000e+02,9.510531715854909640e-01
1.720000000000000000e+02,6.292473897036634511e-01
1.720000000000000000e+02,6.883336351016959842e-01
1.720000000000000000e+02,2.734021365200072287e-02
1.730000000000000000e+02,7.494719053654415042e-01
1.730000000000000000e+02,7.203210815378116028e-01
1.730000000000000000e+02,5.920695274307441469e-02
1.740000000000000000e+02,7.434968917858651993e-01
1.740000000000000000e+02,1.132838433218661400e-01
1.740000000000000000e+02,6.515782485364234322e-01
1.750000000000000000e+02,9.387410223912124874e-01
1.750000000000000000e+02,5.920695274307441469e-02
1.750000000000000000e+02,8.002896976281006491e-01
1.760000000000000000e+02,5.650914358138692251e-01
1.760000000000000000e+02,1.904158368036694970e-01
1.760000000000000000e+02,9.649948699378356753e-01
1.770000000000000000e+02,6.014243466714949138e-01
1.770000000000000000e+02,3.858410284265797463e-01
1.770000000000000000e+02,2.998973987567143396e-01
1.780000000000000000e+02,7.279256442754541423e-01
1.780000000000000000e+02,1.048343291689299295e-01
1.780000000000000000e+02,6.559237129579335024e-01
1.790000000000000000e+02,5.613495081175690071e-01
1.790000000000000000e+02,5.028064457722252190e-01
1.790000000000000000e+02,4.632144365984670054e-01
1.800000000000000000e+02,6.905063673124509638e-01
1.800000000000000000e+02,7.730701913211418530e-01
1.800000000000000000e+02,2.202305510290301083e-01
1.810000000000000000e+02,5.713078640835295152e-01
1.810000000000000000e+02,8.702999577524292429e-02
1.810000000000000000e+02,3.681574023779347060e-01
1.820000000000000000e+02,6.341963908503832625e-01
1.820000000000000000e+02,1.175689540708552139e-01
1.820000000000000000e+02,5.833785985877241176e-01
1.830000000000000000e+02,1.972961554710604137e-01
1.830000000000000000e+02,8.449514152936205350e-03
1.830000000000000000e+02,2.510712776872472962e-01
1.840000000000000000e+02,6.014243466714949138e-01
1.840000000000000000e+02,3.091918643249441656e-01
1.840000000000000000e+02,2.089444142676081806e-01
1.850000000000000000e+02,2.869213591647051809e-01
1.850000000000000000e+02,5.263443780554046825e-01
1.850000000000000000e+02,1.205866376969038506e-01
1.860000000000000000e+02,1.517291327177258675e-01
1.860000000000000000e+02,8.690928843020096980e-03
1.860000000000000000e+02,4.906753575955096619e-02
1.870000000000000000e+02,9.497857444625505963e-01
1.870000000000000000e+02,8.131450298750678707e-01
1.870000000000000000e+02,9.045808437443418892e-01
1.880000000000000000e+02,4.224757076468103056e-01
1.880000000000000000e+02,3.114249502082201693e-02
1.880000000000000000e+02,1.495564005069708602e-01
1.890000000000000000e+02,9.414569376546563229e-01
1.890000000000000000e+02,1.681453316434305123e-01
1.890000000000000000e+02,6.591224576015450864e-01
1.900000000000000000e+02,9.004164403403946970e-01
1.900000000000000000e+02,1.414086547166395202e-01
1.900000000000000000e+02,7.390307200193131365e-01
1.910000000000000000e+02,2.443116663648983167e-01
1.910000000000000000e+02,1.078520127949785801e-01
1.910000000000000000e+02,9.719958959502685847e-01
1.920000000000000000e+02,3.442573480596294311e-01
1.920000000000000000e+02,4.985816886957571414e-01
1.920000000000000000e+02,5.316555012372502498e-01
1.930000000000000000e+02,4.188544872955519138e-01
1.930000000000000000e+02,2.804031625324400756e-01
1.930000000000000000e+02,9.497857444625505963e-01
1.940000000000000000e+02,6.897217695696783446e-01
1.940000000000000000e+02,3.255477095781278418e-01
1.940000000000000000e+02,7.970305993119681798e-01
