# position,p_value_coverage
1.110000000000000000e+02,7.136994568497284641e-01
1.120000000000000000e+02,3.844296922148461304e-01
1.130000000000000000e+02,3.170790585395292793e-01
1.140000000000000000e+02,3.585395292697646230e-01
1.150000000000000000e+02,7.904043452021726202e-01
1.160000000000000000e+02,8.762220881110440729e-01
1.170000000000000000e+02,3.302353651176825333e-01
1.180000000000000000e+02,6.560048280024140255e-02
1.190000000000000000e+02,7.266143633071817098e-02
1.200000000000000000e+02,7.254073627036813909e-02
1.210000000000000000e+02,4.930597465298732635e-02
1.220000000000000000e+02,1.358479179239589496e-01
1.230000000000000000e+02,2.252263126131563153e-01
1.240000000000000000e+02,1.477972238986119402e-01
1.250000000000000000e+02,3.053108026554013366e-01
1.260000000000000000e+02,3.970428485214242409e-01
1.270000000000000000e+02,2.668074834037417187e-01
1.280000000000000000e+02,2.409776704888352550e-01
1.290000000000000000e+02,1.853349426674713307e-01
1.300000000000000000e+02,9.456849728424863988e-02
1.310000000000000000e+02,1.461677730838865374e-01
1.320000000000000000e+02,1.783343391671695921e-01
1.330000000000000000e+02,1.578153289076644483e-01
1.340000000000000000e+02,1.604707302353651222e-01
1.350000000000000000e+02,1.727821363910682084e-01
1.360000000000000000e+02,9.873264936632468458e-02
1.370000000000000000e+02,2.715751357875678673e-01
1.380000000000000000e+02,3.936028968014483875e-01
1.390000000000000000e+02,4.803862401931200954e-01
1.400000000000000000e+02,6.089921544960772426e-01
1.410000000000000000e+02,6.926976463488231373e-01
1.420000000000000000e+02,5.725407362703681668e-01
1.430000000000000000e+02,5.066385033192516429e-01
1.440000000000000000e+02,9.867229933614967141e-01
1.450000000000000000e+02,8.273989136994568394e-01
1.460000000000000000e+02,6.925165962582980894e-01
1.470000000000000000e+02,4.427881713940857167e-01
1.480000000000000000e+02,3.436934218467109226e-01
1.490000000000000000e+02,4.181653590826795441e-01
1.500000000000000000e+02,3.457453228726614092e-01
1.510000000000000000e+02,4.286662643331321521e-01
1.520000000000000000e+02,5.214846107423053434e-01
1.530000000000000000e+02,5.316837658418829271e-01
1.540000000000000000e+02,8.591430295715147825e-01
1.550000000000000000e+02,9.354858177429088428e-01
1.560000000000000000e+02,8.847314423657212101e-01
1.570000000000000000e+02,7.166566083283041344e-01
1.580000000000000000e+02,7.086904043452021407e-01
1.590000000000000000e+02,5.649969824984912847e-01
1.600000000000000000e+02,5.809897404948702881e-01
1.610000000000000000e+02,4.929390464695232454e-01
1.620000000000000000e+02,5.404345202172601281e-01
1.630000000000000000e+02,4.079058539529270000e-01
1.640000000000000000e+02,8.561858780929390011e-01
1.650000000000000000e+02,8.795413397706698388e-01
1.660000000000000000e+02,5.668678334339166680e-01
1.670000000000000000e+02,5.877489438744719630e-01
1.680000000000000000e+02,8.062764031382015917e-01
1.690000000000000000e+02,8.757392878696439453e-01
1.700000000000000000e+02,5.426071213035607022e-01
1.710000000000000000e+02,1.489438744719372432e-01
1.720000000000000000e+02,2.458056729028364473e-01
1.730000000000000000e+02,4.637296318648159166e-01
1.740000000000000000e+02,8.015691007845503480e-01
1.750000000000000000e+02,9.456246228123114106e-01
1.760000000000000000e+02,8.173808086904043035e-01
1.770000000000000000e+02,8.402534701267350137e-01
1.780000000000000000e+02,8.011466505733252363e-01
1.790000000000000000e+02,9.552806276403138508e-01
1.800000000000000000e+02,8.833433916716958434e-01
1.810000000000000000e+02,7.809293904646952278e-01
1.820000000000000000e+02,5.671695835847917477e-01
1.830000000000000000e+02,2.894387447193723650e-01
1.840000000000000000e+02,6.409173204586601780e-02
1.850000000000000000e+02,4.013277006638503452e-02
1.860000000000000000e+02,9.010259505129752933e-02
1.870000000000000000e+02,1.159324079662039791e-01
1.880000000000000000e+02,5.073023536511768183e-01
1.890000000000000000e+02,8.278817139408569670e-01
1.900000000000000000e+02,8.125528062764031390e-01
1.910000000000000000e+02,6.863608931804465740e-01
1.920000000000000000e+02,6.916113458056728502e-01
1.930000000000000000e+02,7.248642124321061919e-01
1.940000000000000000e+02,7.114665057332528741e-01
1.950000000000000000e+02,7.974652987326493747e-01
1.960000000000000000e+02,7.318044659022329146e-01
1.970000000000000000e+02,5.517803258901629038e-01
1.980000000000000000e+02,5.223295111647555666e-01
1.990000000000000000e+02,6.732045866022933200e-01
2.000000000000000000e+02,7.270971635485817819e-01
2.010000000000000000e+02,8.653590826795413138e-01
2.020000000000000000e+02,4.217260108630054294e-01
2.030000000000000000e+02,5.238382619191309791e-02
2.040000000000000000e+02,2.045866022933011397e-02
2.050000000000000000e+02,4.043452021726011078e-03
2.060000000000000000e+02,8.086904043452022156e-03
2.070000000000000000e+02,1.587205793602896806e-02
2.080000000000000000e+02,9.764634882317441145e-02
2.090000000000000000e+02,2.979480989740495023e-01
2.100000000000000000e+02,6.118286059143029920e-01
2.110000000000000000e+02,8.649969824984912181e-01
2.120000000000000000e+02,9.394085697042848793e-01
2.130000000000000000e+02,9.497284248642123838e-01
2.140000000000000000e+02,9.414604707302353104e-01
2.150000000000000000e+02,9.151478575739288024e-01
2.160000000000000000e+02,9.593844296922148240e-01
2.170000000000000000e+02,8.216656608328304356e-01
2.180000000000000000e+02,7.658418829209414636e-01
2.190000000000000000e+02,6.122510561255281036e-01
2.200000000000000000e+02,3.743512371756185786e-01
2.210000000000000000e+02,1.284248642124320994e-01
2.220000000000000000e+02,1.343391671695835787e-01
2.230000000000000000e+02,1.155099577549788814e-01
2.240000000000000000e+02,6.391068195534098384e-02
2.250000000000000000e+02,3.675316837658419017e-02
2.260000000000000000e+02,6.445383222691611347e-02
2.270000000000000000e+02,7.754978877489439315e-02
2.280000000000000000e+02,5.630657815328907884e-02
2.290000000000000000e+02,1.076644538322269196e-01
2.300000000000000000e+02,4.639106819553409644e-01
2.310000000000000000e+02,7.526252263126131936e-01
2.320000000000000000e+02,9.340977670488834761e-01
2.330000000000000000e+02,7.893180446590223331e-01
2.340000000000000000e+02,5.375980687990343787e-01
2.350000000000000000e+02,5.567290283645142113e-01
2.360000000000000000e+02,6.112854556427278485e-01
2.370000000000000000e+02,5.073023536511768183e-01
2.380000000000000000e+02,4.719975859987929900e-01
2.390000000000000000e+02,4.457453228726614425e-01
2.400000000000000000e+02,2.777308388654194382e-01
2.410000000000000000e+02,3.148461074230536894e-01
2.420000000000000000e+02,4.342184671092335635e-01
2.430000000000000000e+02,6.546167773083886310e-01
2.440000000000000000e+02,9.414001207000604055e-01
2.450000000000000000e+02,6.441158720579360786e-01
2.460000000000000000e+02,3.802655401327700857e-01
2.470000000000000000e+02,1.300543150271575021e-01
2.480000000000000000e+02,1.474954737477368605e-01
2.490000000000000000e+02,1.404345202172601059e-01
2.500000000000000000e+02,9.173204586602293209e-02
2.510000000000000000e+02,4.562462281231140920e-02
2.520000000000000000e+02,8.322269161134580873e-02
2.530000000000000000e+02,1.169583584791792363e-01
2.540000000000000000e+02,1.341581170790585309e-01
2.550000000000000000e+02,2.222088111044055458e-01
2.560000000000000000e+02,5.148461074230537005e-01
2.570000000000000000e+02,5.905250452625225854e-01
2.580000000000000000e+02,7.293904646952323878e-01
2.590000000000000000e+02,8.538925769462885063e-01
2.600000000000000000e+02,7.740494870247435211e-01
2.610000000000000000e+02,8.681351840675920473e-01
2.620000000000000000e+02,7.956547978273988964e-01
2.630000000000000000e+02,8.657815328907664254e-01
2.640000000000000000e+02,8.967410983705491612e-01
2.650000000000000000e+02,9.885938442969220974e-01
2.660000000000000000e+02,8.134580567290283781e-01
2.670000000000000000e+02,8.697042848521424618e-01
2.680000000000000000e+02,8.402534701267350137e-01
2.690000000000000000e+02,7.012070006035002745e-01
2.700000000000000000e+02,5.455039227519613565e-01
2.710000000000000000e+02,5.120700060350029670e-01
2.720000000000000000e+02,6.681351840675919807e-01
2.730000000000000000e+02,8.793602896801447910e-01
2.740000000000000000e+02,8.800844900422449824e-01
2.750000000000000000e+02,5.332528666264333417e-01
2.760000000000000000e+02,7.569704284852142306e-01
2.770000000000000000e+02,9.397706698853349749e-01
2.780000000000000000e+02,8.234761617380809140e-01
2.790000000000000000e+02,6.940253470126734880e-01
2.800000000000000000e+02,4.255884127942063944e-01
2.810000000000000000e+02,3.858780929390464576e-01
2.820000000000000000e+02,3.662643331321665530e-01
2.830000000000000000e+02,2.830416415208207859e-01
2.840000000000000000e+02,2.815328907664453872e-01
2.850000000000000000e+02,2.964393482196741036e-01
2.860000000000000000e+02,4.130959565479782603e-01
2.870000000000000000e+02,5.716958358479179436e-01
2.880000000000000000e+02,7.452021726010863434e-01
2.890000000000000000e+02,9.290283645141822477e-01
2.900000000000000000e+02,8.966203983101991293e-01
2.910000000000000000e+02,9.066988533494266811e-01
2.920000000000000000e+02,8.169583584791791919e-01
2.930000000000000000e+02,7.535304767652384328e-01
2.940000000000000000e+02,9.158117079058539778e-01
2.950000000000000000e+02,6.992154496077248593e-01
2.960000000000000000e+02,4.546167773083886754e-01
2.970000000000000000e+02,2.384429692214846130e-01
2.980000000000000000e+02,1.308388654194327094e-01
2.990000000000000000e+02,8.177429088714543992e-02
3.000000000000000000e+02,1.137598068799034468e-01
3.010000000000000000e+02,1.497284248642124227e-01
3.020000000000000000e+02,1.512371756185878213e-01
3.030000000000000000e+02,2.610742305371152594e-01
3.040000000000000000e+02,2.601086300543150043e-01
3.050000000000000000e+02,3.077851538925769348e-01
3.060000000000000000e+02,3.122510561255280592e-01
3.070000000000000000e+02,3.327097163548581871e-01
3.080000000000000000e+02,2.787567893783947093e-01
3.090000000000000000e+02,3.569704284852142639e-01
3.100000000000000000e+02,2.729028364514182181e-01
3.110000000000000000e+02,2.911888955944477719e-01
3.120000000000000000e+02,5.070006035003017386e-01
3.130000000000000000e+02,7.576946288473144220e-01
3.140000000000000000e+02,1.000000000000000000e+00
3.150000000000000000e+02,7.366324683162341902e-01
3.160000000000000000e+02,3.813518406759203172e-01
3.170000000000000000e+02,5.901629450814724898e-01
3.180000000000000000e+02,4.597465298732649197e-01
3.190000000000000000e+02,3.153289076644538169e-01
3.200000000000000000e+02,3.097767048883524610e-01
3.210000000000000000e+02,2.333735666867833569e-01
3.220000000000000000e+02,7.386843693421846213e-02
3.230000000000000000e+02,1.455642727821363780e-01
3.240000000000000000e+02,6.417018708509354408e-01
3.250000000000000000e+02,8.108630054315026925e-01
3.260000000000000000e+02,9.412794206397103736e-01
3.270000000000000000e+02,9.102595051297525108e-01
3.280000000000000000e+02,8.643331321665660427e-01
3.290000000000000000e+02,6.945684972842486316e-01
3.300000000000000000e+02,9.098370549185275102e-01
3.310000000000000000e+02,9.729028364514181737e-01
3.320000000000000000e+02,8.901025950512975182e-01
3.330000000000000000e+02,8.753168376584188337e-01
3.340000000000000000e+02,7.101991550995775393e-01
3.350000000000000000e+02,5.284248642124320661e-01
3.360000000000000000e+02,4.194327097163548790e-01
3.370000000000000000e+02,3.925165962582981560e-01
3.380000000000000000e+02,3.254073627036813687e-01
3.390000000000000000e+02,3.378394689197344869e-01
3.400000000000000000e+02,4.471333735666868092e-01
3.410000000000000000e+02,6.138201569100784072e-01
3.420000000000000000e+02,8.155099577549789203e-01
3.430000000000000000e+02,9.684972842486421207e-01
3.440000000000000000e+02,7.345202172601086321e-01
3.450000000000000000e+02,6.613759806879903058e-01
3.460000000000000000e+02,4.899818949909475196e-01
3.470000000000000000e+02,4.844296922148461082e-01
3.480000000000000000e+02,9.092335546167773508e-01
3.490000000000000000e+02,7.591430295715148047e-01
3.500000000000000000e+02,5.738080869040435017e-01
3.510000000000000000e+02,3.299336149668075091e-01
3.520000000000000000e+02,1.438141219070609433e-01
3.530000000000000000e+02,1.040434520217260045e-01
3.540000000000000000e+02,1.171997585998793001e-01
3.550000000000000000e+02,1.258298129149064692e-01
3.560000000000000000e+02,1.338563669281834512e-01
3.570000000000000000e+02,2.316837658418829105e-01
3.580000000000000000e+02,3.478575739287869673e-01
3.590000000000000000e+02,3.697646348823174223e-01
3.600000000000000000e+02,3.026554013277006905e-01
3.610000000000000000e+02,2.913699456849728198e-01
3.620000000000000000e+02,3.363910681955341042e-01
3.630000000000000000e+02,5.059746529873264675e-01
3.640000000000000000e+02,6.799637899818949949e-01
3.650000000000000000e+02,9.185274592637295843e-01
3.660000000000000000e+02,7.762824381412191110e-01
3.670000000000000000e+02,8.098974049487024374e-01
3.680000000000000000e+02,5.599879299939649613e-01
3.690000000000000000e+02,3.521424260712130438e-01
3.700000000000000000e+02,1.904646952323476028e-01
3.710000000000000000e+02,9.710319855159928182e-02
3.720000000000000000e+02,1.571514785757393007e-01
3.730000000000000000e+02,1.174411587205793639e-01
3.740000000000000000e+02,1.304767652383826138e-01
3.750000000000000000e+02,1.123114061557030779e-01
3.760000000000000000e+02,1.958961979480989823e-01
3.770000000000000000e+02,3.586602293301146549e-01
3.780000000000000000e+02,4.742305371152685800e-01
3.790000000000000000e+02,6.665660832830416771e-01
3.800000000000000000e+02,9.168376584188292489e-01
3.810000000000000000e+02,7.140012070006035438e-01
3.820000000000000000e+02,5.328907664453832460e-01
3.830000000000000000e+02,4.471333735666868092e-01
3.840000000000000000e+02,2.299939649969824917e-01
3.850000000000000000e+02,2.648159324079661925e-01
3.860000000000000000e+02,4.863005431502716025e-01
3.870000000000000000e+02,7.329511164755582175e-01
3.880000000000000000e+02,9.289076644538322158e-01
3.890000000000000000e+02,3.572721786360893437e-01
3.900000000000000000e+02,4.066988533494266811e-01
3.910000000000000000e+02,3.323476161738080914e-01
3.920000000000000000e+02,4.933011466505733411e-01
3.930000000000000000e+02,7.671695835847918143e-01
3.940000000000000000e+02,9.576946288473143776e-01
3.950000000000000000e+02,9.203379601689800626e-01
3.960000000000000000e+02,9.611949305974653024e-01
3.970000000000000000e+02,9.195534097767048554e-01
3.980000000000000000e+02,6.932407966203982808e-01
3.990000000000000000e+02,5.336149668074834373e-01
4.000000000000000000e+02,5.547374773687386851e-01
4.010000000000000000e+02,5.992154496077247705e-01
4.020000000000000000e+02,7.296922148461074675e-01
4.030000000000000000e+02,6.912492456246228656e-01
4.040000000000000000e+02,7.178032589016294374e-01
4.050000000000000000e+02,4.491249245624622799e-01
4.060000000000000000e+02,2.406759203379601753e-01
4.070000000000000000e+02,1.065178032589016305e-01
4.080000000000000000e+02,4.296922148461074231e-02
4.090000000000000000e+02,8.690404345202172934e-03
4.100000000000000000e+02,3.500301750150874944e-03
4.110000000000000000e+02,6.276403138201568956e-03
4.120000000000000000e+02,3.802051901025950333e-03
4.130000000000000000e+02,6.336753168376584033e-03
4.140000000000000000e+02,2.480386240193119957e-02
4.150000000000000000e+02,5.509957754978877381e-02
4.160000000000000000e+02,9.185274592637296398e-02
4.170000000000000000e+02,1.816535908267954136e-01
4.180000000000000000e+02,4.914302957151478468e-01
4.190000000000000000e+02,5.859384429692214846e-01
4.200000000000000000e+02,6.290887145443572193e-01
4.210000000000000000e+02,6.367531683765841333e-01
4.220000000000000000e+02,6.538322269161134237e-01
4.230000000000000000e+02,6.974049487024743810e-01
4.240000000000000000e+02,9.359082679541339544e-01
4.250000000000000000e+02,9.474351237175618889e-01
4.260000000000000000e+02,9.984308992154495854e-01
4.270000000000000000e+02,9.962582981291490114e-01
4.280000000000000000e+02,8.656608328304163935e-01
4.290000000000000000e+02,4.945081472540736045e-01
4.300000000000000000e+02,8.015087507543753320e-01
4.310000000000000000e+02,8.802051901025950142e-01
4.320000000000000000e+02,5.483403741701871059e-01
4.330000000000000000e+02,4.882920941460470732e-01
4.340000000000000000e+02,3.177429088714544547e-01
4.350000000000000000e+02,2.739287869643934892e-01
4.360000000000000000e+02,2.961979480989740399e-01
4.370000000000000000e+02,3.012673506336753237e-01
4.380000000000000000e+02,2.611949305974652913e-01
4.390000000000000000e+02,1.769462884731442254e-01
4.400000000000000000e+02,1.891973445986722957e-01
4.410000000000000000e+02,1.700663850331925186e-01
4.420000000000000000e+02,2.540132770066385048e-01
4.430000000000000000e+02,1.606517803258901700e-01
4.440000000000000000e+02,1.795413397706698833e-01
4.450000000000000000e+02,2.483403741701870893e-01
4.460000000000000000e+02,3.598068799034399579e-01
4.470000000000000000e+02,4.435123717561858525e-01
4.480000000000000000e+02,6.147857573928786623e-01
4.490000000000000000e+02,8.968617984308991931e-01
4.500000000000000000e+02,9.334339167169584117e-01
4.510000000000000000e+02,8.655401327700663616e-01
4.520000000000000000e+02,6.606517803258901145e-01
4.530000000000000000e+02,5.540132770066384937e-01
4.540000000000000000e+02,5.883524441762221224e-01
4.550000000000000000e+02,7.588412794206397249e-01
4.560000000000000000e+02,8.747133373566686743e-01
4.570000000000000000e+02,6.086904043452021629e-01
4.580000000000000000e+02,3.513578756789378366e-01
4.590000000000000000e+02,2.214846107423053823e-01
4.600000000000000000e+02,2.475558237779118820e-01
4.610000000000000000e+02,1.555823777911888861e-01
4.620000000000000000e+02,2.117079058539529379e-01
4.630000000000000000e+02,2.792999396499697973e-01
4.640000000000000000e+02,2.506336753168376674e-01
4.650000000000000000e+02,2.197948098974049358e-01
4.660000000000000000e+02,3.220277610138805313e-01
4.670000000000000000e+02,2.132166566083283088e-01
4.680000000000000000e+02,1.799637899818949949e-01
4.690000000000000000e+02,2.144236572118285999e-01
4.700000000000000000e+02,3.246831623415811774e-01
4.710000000000000000e+02,3.835847917923959072e-01
4.720000000000000000e+02,3.648762824381412417e-01
4.730000000000000000e+02,3.957754978877489616e-01
4.740000000000000000e+02,4.125528062764031167e-01
4.750000000000000000e+02,2.643934821967410809e-01
4.760000000000000000e+02,2.961979480989740399e-01
4.770000000000000000e+02,3.867229933614966808e-01
4.780000000000000000e+02,4.131563065781532762e-01
4.790000000000000000e+02,4.909474954737477193e-01
4.800000000000000000e+02,6.171394085697042842e-01
4.810000000000000000e+02,5.027761013880507335e-01
4.820000000000000000e+02,5.864212432106216122e-01
4.830000000000000000e+02,4.719975859987929900e-01
4.840000000000000000e+02,4.168980084490042093e-01
4.850000000000000000e+02,4.969824984912492583e-01
4.860000000000000000e+02,4.095956547978273909e-01
4.870000000000000000e+02,4.082679541339770402e-01
4.880000000000000000e+02,5.328304164152082301e-01
4.890000000000000000e+02,5.619794809897404875e-01
4.900000000000000000e+02,3.530476765238382830e-01
4.910000000000000000e+02,3.116475558237778998e-01
4.920000000000000000e+02,2.652383826191913041e-01
4.930000000000000000e+02,1.786964393482196878e-01
4.940000000000000000e+02,1.851538925769462829e-01
4.950000000000000000e+02,3.584188292094145911e-01
4.960000000000000000e+02,6.043452021726011258e-01
4.970000000000000000e+02,7.713940856970428195e-01
4.980000000000000000e+02,9.566686783343392175e-01
4.990000000000000000e+02,7.733252866626433297e-01
5.000000000000000000e+02,8.409776704888352050e-01
5.010000000000000000e+02,6.536511768255883759e-01
5.020000000000000000e+02,4.874471937235968499e-01
5.030000000000000000e+02,4.013880506940253334e-01
5.040000000000000000e+02,3.336753168376584422e-01
5.050000000000000000e+02,2.762220881110440396e-01
5.060000000000000000e+02,2.764634882317441034e-01
5.070000000000000000e+02,2.661436330718165433e-01
5.080000000000000000e+02,1.336149668074834151e-01
5.090000000000000000e+02,2.133977066988533566e-01
5.100000000000000000e+02,4.125528062764031167e-01
5.110000000000000000e+02,5.296922148461074009e-01
5.120000000000000000e+02,7.217260108630054738e-01
5.130000000000000000e+02,7.648159324079661925e-01
5.140000000000000000e+02,9.896197948098973685e-01
5.150000000000000000e+02,8.455642727821364169e-01
5.160000000000000000e+02,7.144236572118286555e-01
5.170000000000000000e+02,6.001810500905250256e-01
5.180000000000000000e+02,4.099577549788774866e-01
5.190000000000000000e+02,4.284852142426071042e-01
5.200000000000000000e+02,4.118286059143029809e-01
5.210000000000000000e+02,4.011466505733252697e-01
5.220000000000000000e+02,5.448400724200361811e-01
5.230000000000000000e+02,7.284248642124321327e-01
5.240000000000000000e+02,9.442969221484610598e-01
5.250000000000000000e+02,7.674109837054918781e-01
5.260000000000000000e+02,2.565479782739891190e-01
5.270000000000000000e+02,3.147254073627036575e-01
5.280000000000000000e+02,2.420036210018104983e-01
5.290000000000000000e+02,2.512975256487628428e-01
5.300000000000000000e+02,7.497887748943874442e-01
5.310000000000000000e+02,9.140615570307785154e-01
5.320000000000000000e+02,5.631864815932408064e-01
5.330000000000000000e+02,2.872057936028967751e-01
5.340000000000000000e+02,1.181050090525045254e-01
5.350000000000000000e+02,1.270368135184067604e-01
5.360000000000000000e+02,1.407966203983102016e-01
5.370000000000000000e+02,1.651176825588412667e-01
5.380000000000000000e+02,2.700060350030175083e-01
5.390000000000000000e+02,3.205793602896801486e-01
5.400000000000000000e+02,2.386843693421846768e-01
5.410000000000000000e+02,3.775497887748943682e-01
5.420000000000000000e+02,5.532287266143632865e-01
5.430000000000000000e+02,6.815328907664454094e-01
5.440000000000000000e+02,8.786360893180447107e-01
5.450000000000000000e+02,6.657211828605914539e-01
5.460000000000000000e+02,9.453832226916113468e-01
5.470000000000000000e+02,7.478575739287869339e-01
5.480000000000000000e+02,5.079662039831019937e-01
5.490000000000000000e+02,2.439348219674109808e-01
5.500000000000000000e+02,1.285455642727821313e-01
5.510000000000000000e+02,1.276403138201569198e-01
5.520000000000000000e+02,1.340374170187084990e-01
5.530000000000000000e+02,1.254677127338563736e-01
5.540000000000000000e+02,1.577549788774894324e-01
5.550000000000000000e+02,1.707905853952927100e-01
5.560000000000000000e+02,1.441158720579360231e-01
5.570000000000000000e+02,1.117682558841279483e-01
5.580000000000000000e+02,1.244417622208811164e-01
5.590000000000000000e+02,1.211828605914302970e-01
5.600000000000000000e+02,1.997585998792999473e-01
5.610000000000000000e+02,4.219070609535304772e-01
5.620000000000000000e+02,7.125528062764031612e-01
5.630000000000000000e+02,9.669885334942667221e-01
5.640000000000000000e+02,6.872661436330718132e-01
5.650000000000000000e+02,9.519010259505129579e-01
5.660000000000000000e+02,7.239589619794809527e-01
5.670000000000000000e+02,4.761617380808690347e-01
5.680000000000000000e+02,4.561255280627640185e-01
5.690000000000000000e+02,3.214846107423053878e-01
5.700000000000000000e+02,2.999396499698249730e-01
5.710000000000000000e+02,3.422450211225105399e-01
5.720000000000000000e+02,3.584188292094145911e-01
5.730000000000000000e+02,4.417018708509354297e-01
5.740000000000000000e+02,5.649969824984912847e-01
5.750000000000000000e+02,9.053108026554013144e-01
5.760000000000000000e+02,7.118889559444779858e-01
5.770000000000000000e+02,2.519613759806879627e-01
5.780000000000000000e+02,2.472540736270368023e-01
5.790000000000000000e+02,1.892576946288473116e-01
5.800000000000000000e+02,1.631864815932407842e-01
5.810000000000000000e+02,1.855763427881713945e-01
5.820000000000000000e+02,1.459867229933614896e-01
